LuongTon,SoLuongNhap,NgayNhapHangGanNhat,Nhan
14,30,15,1
13,30,10,1
12,30,14,1
11,30,15,1
10,30,8,1
9,30,6,1
8,30,4,1
7,30,2,1
6,30,13,1
5,30,15,1
4,30,11,1
3,30,9,1
2,30,7,1
1,30,5,1
15,30,15,1
16,30,14,1
17,30,15,1
20,19,11,0
21,2,26,0
27,26,26,0
10,21,18,1
1,16,30,1
27,30,20,0
4,30,8,1
22,20,24,0
9,6,12,0
21,10,16,0
5,14,27,1
26,11,16,0
19,9,18,0
12,24,7,1
11,14,30,0
13,12,5,0
24,25,6,0
11,24,29,1
12,12,25,0
29,8,3,0
15,18,16,0
19,23,19,0
28,4,4,0
1,14,30,1
25,16,8,0
23,27,29,0
30,11,15,0
18,25,10,0
28,27,1,0
12,18,14,0
10,21,26,1
20,27,28,0
25,5,14,0
20,27,14,0
20,25,26,0
17,25,11,0
3,18,26,1
14,12,3,0
4,18,14,1
12,10,4,0
23,4,10,0
18,5,21,0
26,17,2,0
26,23,14,0
26,1,2,0
25,14,7,0
7,14,10,1
4,4,11,0
10,26,20,1
28,25,20,0
23,15,2,0
11,20,9,1
12,15,28,0
24,20,27,0
24,10,24,0
22,27,14,0
12,3,1,0
2,7,25,1
20,7,10,0
21,29,29,0
18,19,28,0
28,6,18,0
21,7,6,0
22,20,15,0
21,19,21,0
16,3,28,0
20,6,21,0
29,5,28,0
27,2,9,0
30,20,28,0
22,1,8,0
1,8,5,1
10,19,9,1
23,25,25,0
30,7,5,0
19,18,30,0
4,3,8,0
8,27,1,1
27,23,30,0
12,19,20,0
23,8,17,0
9,21,24,1
26,13,14,0
16,12,13,0
2,3,18,0
26,12,13,0
21,16,8,0
5,13,10,1
4,24,21,1
13,29,16,1
14,17,2,0
22,17,6,0
16,16,10,0
18,28,21,0
21,2,11,0
1,11,29,1
14,4,3,0
17,12,5,0
19,9,17,0
25,17,25,0
22,15,18,0
13,10,11,0
19,8,4,0
14,4,6,0
28,20,6,0
15,30,2,1
15,30,18,0
26,9,11,0
11,8,25,0
16,10,8,0
17,16,28,0
4,2,18,0
3,21,15,1
14,3,28,0
4,19,15,1
21,16,22,0
24,13,18,0
15,10,21,0
14,12,3,0
15,29,2,1
26,11,10,0
23,29,16,0
12,30,30,1
2,17,21,1
11,11,3,0
23,28,9,0
2,23,7,1
15,15,25,0
20,29,15,0
13,1,1,0
28,6,4,0
26,26,15,0
30,1,5,0
27,14,13,0
12,13,12,0
19,4,8,0
25,6,14,0
28,9,24,0
25,21,26,0
15,25,9,0
25,29,8,0
9,20,30,1
15,11,15,0
23,10,10,0
10,20,7,1
15,12,18,0
5,16,15,1
12,29,20,1
5,5,9,0
25,9,23,0
19,1,23,0
21,21,1,0
29,9,10,0
3,14,1,1
2,18,27,1
9,23,30,1
11,30,22,1
10,11,26,0
27,7,15,0
28,2,24,0
10,16,15,0
27,16,30,0
12,30,18,1
6,16,28,1
7,23,2,1
26,28,19,0
23,23,12,0
27,2,13,0
16,10,24,0
25,6,4,0
3,11,28,1
22,9,16,0
24,4,11,0
10,4,25,0
10,28,15,1
25,18,4,0
5,10,2,1
16,29,22,0
17,23,7,0
4,8,18,0
23,21,12,0
6,13,5,1
21,25,11,0
30,15,11,0
26,28,2,0
23,5,14,0
19,28,25,0
9,4,18,0
2,22,4,1
23,8,5,0
24,24,19,0
9,11,3,0
3,1,19,0
15,24,21,0
19,25,29,0
17,24,25,0
18,17,17,0
19,9,23,0
27,16,23,0
22,19,3,0
10,22,5,1
9,7,12,0
28,21,15,0
24,21,7,0
22,22,16,0
10,5,16,0
4,29,22,1
30,26,25,0
1,21,6,1
25,3,30,0
5,7,18,0
22,27,14,0
9,11,7,0
21,10,5,0
15,30,6,1
9,28,13,1
22,16,18,0
4,22,3,1
21,2,4,0
5,11,16,1
24,23,23,0
27,5,2,0
8,22,28,1
22,21,10,0
4,20,3,1
26,16,23,0
12,3,19,0
24,8,1,0
12,18,3,0
27,28,9,0
11,30,26,1
12,26,24,1
18,2,6,0
25,16,24,0
13,11,27,0
20,3,15,0
15,18,9,0
29,26,24,0
17,29,27,0
23,18,18,0
3,20,4,1
30,30,6,0
3,3,29,0
15,23,29,0
1,17,15,1
1,25,29,1
16,28,11,1
13,13,19,0
26,28,12,0
14,27,28,0
25,14,30,0
23,6,18,0
18,29,23,0
24,17,28,0
14,6,1,0
16,15,15,0
26,5,29,0
19,30,27,0
8,28,6,1
11,7,5,0
12,5,3,0
26,23,21,0
19,28,11,0
27,28,18,0
4,18,17,1
1,14,4,1
12,6,17,0
30,6,14,0
2,1,11,0
17,11,18,0
14,19,4,0
22,27,29,0
25,15,30,0
16,17,11,0
23,20,5,0
4,8,12,1
12,4,30,0
9,11,18,0
24,28,13,0
16,28,29,0
1,29,12,1
29,12,1,0
20,24,8,0
24,18,18,0
7,21,7,1
12,8,30,0
29,30,25,0
6,16,23,1
27,14,25,0
16,19,2,0
10,6,23,0
22,24,23,0
27,3,19,0
17,18,26,0
14,23,24,0
30,9,28,0
22,10,23,0
26,24,15,0
3,1,17,0
6,16,5,1
3,7,26,1
